detailed_industry,soi_industry,business_receipts,remainder,use_total_receipts,weight
Farms,Agricultural production,52657285,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites",Forestry and logging,5469932,NA,NA,NA
"Forestry,_Fishing,_and_Related_Activites","Support activities and fishing, hunting and trapping",11845678,NA,NA,NA
Oil_and_Gas_Extraction,Mining,370056140,NA,NA,NA
Mining_(Except_Oil_and_Gas),Mining,370056140,NA,NA,NA
Support_Activities_For_Mining,Mining,370056140,NA,NA,NA
Hydroelectric_Power_Generation,Utilities,726472524,NA,NA,NA
Nuclear_Electric_Power_Generation,Utilities,726472524,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle",Utilities,726472524,NA,NA,NA
"Fossil_Fuel_Electric_Power_Generation,_Combustion",Utilities,726472524,NA,NA,NA
Other_Electric_Power_Generation,Utilities,726472524,NA,NA,NA
Electric_Power_Transmission_and_Distribution,Utilities,726472524,NA,NA,NA
Natural_Gas_Distribution_and_Transmission,Utilities,726472524,NA,NA,NA
Water_and_Sewer_Systems,Utilities,726472524,NA,NA,NA
Construction,Construction,535629121,NA,NA,NA
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",Food manufacturing,455605924,NA,NA,NA
Other_Food_Products_Manufacturing,Food manufacturing,455605924,NA,NA,NA
Beverage_and_Tobacco_Products_Manufacturing,Beverage and tobacco product manufacturing,135874186,NA,NA,NA
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",Textile mills and textile product mills,26423630,NA,NA,NA
Other_Textile_and_Textile_Product_Mills,Textile mills and textile product mills,26423630,NA,NA,NA
Apparel_Manufacturing,Apparel manufacturing,33655177,NA,NA,NA
Leather_and_Allied_Products_Manufacturing,Leather and allied product manufacturing,4662719,NA,NA,NA
Wood_Product_Manufacturing,Wood product manufacturing,31587485,NA,NA,NA
Paper_Manufacturing,Paper manufacturing,164421708,NA,NA,NA
Printing_and_Related_Support_Activities,Printing and related support activities,48821641,NA,NA,NA
Petroleum_Refining,Petroleum and coal products manufacturing,2230909047,NA,NA,NA
Other_Petroleum_and_Coal_Products_Manufacturing,Petroleum and coal products manufacturing,2230909047,NA,NA,NA
Chemical_Manufacturing,Chemical manufacturing,756824378,NA,NA,NA
Plastics_and_Rubber_Products_Manufacturing,Plastics and rubber products manufacturing,123691750,NA,NA,NA
Glass_Products_Manufacturing,Nonmetallic mineral product manufacturing,90717402,NA,NA,NA
