industry,detailed_industry
Agricultural production,Farms
Forestry and logging,"Forestry,_Fishing,_and_Related_Activites"
"Support activities and fishing, hunting and trapping","Forestry,_Fishing,_and_Related_Activites"
Mining,Oil_and_Gas_Extraction
Mining,Mining_(Except_Oil_and_Gas)
Mining,Support_Activities_For_Mining
Utilities,Hydroelectric_Power_Generation
Utilities,Nuclear_Electric_Power_Generation
Utilities,"Fossil_Fuel_Electric_Power_Generation,_Steam_and_Combined_Cycle"
Utilities,"Fossil_Fuel_Electric_Power_Generation,_Combustion"
Utilities,Other_Electric_Power_Generation
Utilities,Electric_Power_Transmission_and_Distribution
Utilities,Natural_Gas_Distribution_and_Transmission
Utilities,Water_and_Sewer_Systems
Construction,Construction
Food manufacturing,"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing"
Food manufacturing,Other_Food_Products_Manufacturing
Beverage and tobacco product manufacturing,Beverage_and_Tobacco_Products_Manufacturing
Textile mills and textile product mills,"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing"
Textile mills and textile product mills,Other_Textile_and_Textile_Product_Mills
Apparel manufacturing,Apparel_Manufacturing
Leather and allied product manufacturing,Leather_and_Allied_Products_Manufacturing
Wood product manufacturing,Wood_Product_Manufacturing
Paper manufacturing,Paper_Manufacturing
Printing and related support activities,Printing_and_Related_Support_Activities
Petroleum and coal products manufacturing,Petroleum_Refining
Petroleum and coal products manufacturing,Other_Petroleum_and_Coal_Products_Manufacturing
Chemical manufacturing,Chemical_Manufacturing
Plastics and rubber products manufacturing,Plastics_and_Rubber_Products_Manufacturing
Nonmetallic mineral product manufacturing,Glass_Products_Manufacturing
Nonmetallic mineral product manufacturing,Cement_Manufacturing
Nonmetallic mineral product manufacturing,Other_Nonmetalic_Mineral_Products_Manufacturing
Primary metal manufacturing,Primary_Ferrous_Metal_Manufacturing
Primary metal manufacturing,Primary_Nonferrous_Metal_Manufacturing
Fabricated metal product manufacturing,Fabricated_Metal_Product_Manufacturing
Machinery manufacturing,Machinery_Manufacturing
Computer and electronic product manufacturing,Computer_and_Electronic_Product_Manufacturing
"Electrical equipment, appliance, and component manufacturing","Electrical_Equipment,_Appliances,_and_Components_Manufacturing"
Transportation equipment manufacturing,Motor_Vehicle_and_Parts_Manufacturing
Transportation equipment manufacturing,Ships_and_Boats_Manufacturing
Transportation equipment manufacturing,Other_Transportation_Equipment_Manufacturing
Furniture and related product manufacturing,Furniture_and_Related_Products_Manufacturing
